module_id,trace_id,remote_child_count,depth_layer,duration,Total_Child,max_depth
8485856097064810000 ,177689165::2200064955834378,0,1,664,0,1
2200064955834370 ,177689165::2200064955834378,1,0,3702,1,1
4041303057073040 ,177391451::4041303057073045,0,0,59,0,0
1186606224955550000 ,177644579::7613460607275931470,0,0,737,0,0
5890181149009180 ,177568864::5890181149009186,0,0,940,0,0
8888665330409120 ,177527805::8888665330409122,0,0,13417,0,0
8904879017480470 ,177223042::8904879017480473,0,0,5168,0,0
6559172692414570000 ,177697701::8074567284632167582,0,0,8302,0,0
4320047941108640000 ,177394437::4531085686939878072,0,0,17795,0,0
7921668593370750 ,169489957::7921668593370756,0,0,4268,0,0
5329604554201230000 ,177631190::3903872941489323835,0,1,2609,0,1
5329604554201230000 ,177631190::3903872941489323835,0,0,2777,1,1
6368743030356410000 ,177391654::8503137720690878,0,2,2740,0,2
8503137720690870 ,177391654::8503137720690878,1,0,90252,1,2
8234175446651030000 ,177391654::8503137720690878,0,2,128,0,2
1565005403507980000 ,177391654::8503137720690878,4,1,83160,4,2
5328021115052180000 ,2886860803::6687320514009199718,0,0,1358,0,0
2763902172171410 ,169102286::2763902172171414,0,0,468,0,0
3021559266000000 ,169488529::3021559266000006,0,0,6419,0,0
7479258343697280000 ,177375641::8917760952383468488,0,2,482,0,4
5987359266556430000 ,177375641::8917760952383468488,1,1,4221,1,4
8870582545134940000 ,177375641::8917760952383468488,1,1,886,1,4
6869444509430880000 ,177375641::8917760952383468488,1,1,641,1,4
1033716326118690000 ,177375641::8917760952383468488,3,1,16874,3,4
3625098792213150000 ,177375641::8917760952383468488,0,2,103,0,4
8175924397021690000 ,177375641::8917760952383468488,1,1,4811,1,4
647789658851046000 ,177375641::8917760952383468488,2,1,7282,2,4
5639232954867010000 ,177375641::8917760952383468488,1,1,2601,1,4
5245823059195550000 ,177375641::8917760952383468488,1,1,1017,1,4
6938621508051120000 ,177375641::8917760952383468488,1,1,1991,1,4
9039598000032180000 ,177375641::8917760952383468488,0,3,454,0,4
8191225523597460000 ,177375641::8917760952383468488,3,1,12243,3,4
3505924917341370000 ,177375641::8917760952383468488,3,1,21178,3,4
6518501268003650000 ,177375641::8917760952383468488,0,2,1331,0,4
4942759821184540000 ,177375641::8917760952383468488,3,1,17107,3,4
5205958433829570000 ,177375641::8917760952383468488,1,3,3461,1,4
1117472726888390000 ,177375641::8917760952383468488,0,3,1429,0,4
3691900425665720000 ,177375641::8917760952383468488,0,2,1064,0,4
6280534148697630000 ,177375641::8917760952383468488,1,1,1420,1,4
8451903473147780000 ,177375641::8917760952383468488,0,2,122,0,4
6933430194221310000 ,177375641::8917760952383468488,0,2,977,0,4
1109012091429720000 ,177375641::8917760952383468488,0,1,1914,0,4
446235520342474000 ,177375641::8917760952383468488,2,3,3630,2,4
2903350294843330000 ,177375641::8917760952383468488,0,3,1252,0,4
2757419224583270000 ,177375641::8917760952383468488,3,1,19978,3,4
7004218014764350000 ,177375641::8917760952383468488,0,2,1896,0,4
1867113056004290000 ,177375641::8917760952383468488,0,2,417,0,4
3588794004111990000 ,177375641::8917760952383468488,1,1,6199,1,4
8191466343866030000 ,177375641::8917760952383468488,1,2,986,1,4
6855513194780640000 ,177375641::8917760952383468488,0,2,132,0,4
2541334092908320000 ,177375641::8917760952383468488,0,1,4717,0,4
8581533060387890000 ,177375641::8917760952383468488,1,1,1910,1,4
8417852436547450000 ,177375641::8917760952383468488,29,0,241835,29,4
1251170033262310000 ,177375641::8917760952383468488,1,2,1501,1,4
2585662411448340000 ,177375641::8917760952383468488,0,1,665,0,4
543089829198069000 ,177375641::8917760952383468488,1,1,923,1,4
2674732231806090000 ,177375641::8917760952383468488,0,1,1603,0,4
9194291636666430000 ,177375641::8917760952383468488,0,2,897,0,4
6672116541544380000 ,177375641::8917760952383468488,1,1,1061,1,4
1071128293647590000 ,177375641::8917760952383468488,0,2,473,0,4
949788851253009000 ,177375641::8917760952383468488,1,4,1118,1,4
7367282885268920000 ,177375641::8917760952383468488,1,1,1487,1,4
1201354475021270000 ,177375641::8917760952383468488,0,2,443,0,4
2044233385781740000 ,177375641::8917760952383468488,3,1,14779,3,4
703816517584949000 ,177375641::8917760952383468488,1,1,2496,1,4
7597517876941520000 ,177375641::8917760952383468488,2,1,3445,2,4
8357770168830830000 ,177375641::8917760952383468488,5,2,10290,5,4
8363364735425870000 ,177375641::8917760952383468488,3,1,12561,3,4
539042625811398000 ,177375641::8917760952383468488,1,1,1449,1,4
603013456386322 ,177354550::603013456386322,0,0,130,0,0
1244054788835310000 ,177646930::6151126853346512207,0,0,833,0,0
1277732344665250000 ,2886860811::6143207525689736583,0,0,846,0,0
7317808974380880000 ,177214293::7021701354527470531,1,2,645,1,2
1834722880081220000 ,177214293::7021701354527470531,0,2,1632,0,2
8711094978541910000 ,177214293::7021701354527470531,0,2,1114,0,2
765186724905940000 ,177214293::7021701354527470531,0,1,1883,0,2
1163997271513510000 ,177214293::7021701354527470531,5,0,27460,5,2
352296873120744000 ,177214293::7021701354527470531,1,1,2352,1,2
1817900092684710000 ,177214293::7021701354527470531,2,1,7981,2,2
2421797178537200000 ,177214293::7021701354527470531,0,1,904,0,2
765789548550047000 ,177214293::7021701354527470531,0,1,2358,0,2
5326498984912620000 ,177393944::2729095749129140,0,3,75,0,4
7295904402592200000 ,177393944::2729095749129140,0,4,1096,0,4
7839107850797120000 ,177393944::2729095749129140,1,3,2502,1,4
3633542142198670000 ,177393944::2729095749129140,1,2,3868,1,4
5032691258361630000 ,177393944::2729095749129140,0,2,1256,0,4
6620084250928330000 ,177393944::2729095749129140,1,2,3526,1,4
8257797966851960000 ,177393944::2729095749129140,1,3,2273,1,4
2729095749129140 ,177393944::2729095749129140,2,0,44095,2,4
1286518138960370000 ,177393944::2729095749129140,1,2,4531,1,4
272931350905148000 ,177393944::2729095749129140,0,2,535,0,4
1012985829122820000 ,177393944::2729095749129140,0,3,85,0,4
752855684132025000 ,177393944::2729095749129140,0,3,94,0,4
7268367430613060000 ,177393944::2729095749129140,7,1,30681,7,4
3502623493007700000 ,177393944::2729095749129140,1,2,9729,1,4
1136346874701460000 ,177393944::2729095749129140,1,2,4415,1,4
1466475033467450 ,177527805::1466475033467454,0,0,8923,0,0
1733647412964310 ,177476953::1733647412964316,0,0,14104,0,0
7002683006604840000 ,169615942::4941262651428195181,0,0,1656,0,0
7525223924635140000 ,169428312::5602931919721568666,0,1,1083,0,1
9214974172227220000 ,169428312::5602931919721568666,1,0,4560,1,1
230808164844489000 ,169299292::2350967491709395495,0,0,954,0,0
5223868364725040000 ,177287655::5223868364725040955,0,0,2737,0,0
5886544948075260 ,177570504::5886544948075265,0,0,45,0,0
2810872432828630 ,177405015::2810872432828634,0,0,7141,0,0
3274292835671880000 ,177461452::7534234877378675139,1,0,11636,1,3
2696553647642360000 ,177461452::7534234877378675139,3,1,9596,3,3
1677250909935760000 ,177461452::7534234877378675139,1,2,7575,1,3
3272577897405310000 ,177461452::7534234877378675139,0,3,523,0,3
3219468098497740 ,177391332::3219468098497744,0,0,6449,0,0
2619645036946670000 ,2886860821::1225828331883949881,0,0,147,0,0
7272706356198750000 ,2886860844::8256501321089028410,0,0,231,0,0
3489435269133870 ,177359948::3489435269133877,0,0,17395,0,0
5109041765419120 ,177242255::5109041765419127,0,0,8263,0,0
2956479169520950000 ,169615065::4839060748511607558,0,1,1048,0,2
8493323229629250000 ,169615065::4839060748511607558,2,1,1580,2,2
713258114234823000 ,169615065::4839060748511607558,1,2,1684,1,2
3570226958265800000 ,169615065::4839060748511607558,2,1,6709,2,2
3185080400070690000 ,169615065::4839060748511607558,0,2,249,0,2
118388665539116000 ,169615065::4839060748511607558,0,2,255,0,2
260191192406349000 ,169615065::4839060748511607558,0,2,1303,0,2
